student_id,age,gender,year_of_study,gpa,academic_consistency,programming_skill_score,problem_solving_score,digital_skill_score,communication_skill_score,teamwork_score,leadership_score,adaptability_score,learning_motivation_score,internship_count,internship_duration_months,project_count,project_portfolio_score,industry_alignment_score,workshops_attended,online_courses_completed,networking_events_attended,career_clarity_score,market_awareness_score,higher_study_interest,target_industry,career_goal_alignment_score,interview_readiness_score,resume_quality_score,employment_competitiveness_score,employment_competitiveness_level
STU0011,20,Male,3,5.96,65.27,53.49,55.41,64.14,78.52,72.16,84.1,72.21,68.77,3,6,4,51.87,54.01,8,3,6,72.28,84.6,Undecided,Healthcare,65.05,70.06,69.17,36.84,Low
STU0012,24,Female,4,5.58,54.92,78.69,86.47,74.71,73.34,64.97,74.28,72.45,62.66,5,17,3,69.68,79.78,6,4,0,39.69,50.82,Undecided,Healthcare,37.4,59.25,84.51,40.82,Medium
STU0013,20,Female,2,5.37,43.0,78.74,65.76,80.79,52.79,69.47,61.67,57.57,58.99,1,2,6,68.52,49.06,7,5,1,76.14,79.67,Yes,Manufacturing,86.45,65.44,51.94,24.16,Low
STU0014,20,Male,1,8.54,95.22,74.99,71.07,59.85,64.33,82.85,92.29,60.12,82.05,0,2,2,52.46,37.97,9,5,1,72.03,59.37,No,Manufacturing,74.27,67.41,43.98,44.67,Medium
STU0015,25,Female,1,6.44,74.67,57.07,77.76,55.96,81.41,81.33,95.49,62.1,61.62,4,17,6,71.6,66.91,6,6,5,61.88,64.16,No,Education,68.53,78.38,70.64,56.39,Medium
STU0016,22,Female,4,9.04,91.72,73.24,81.07,71.12,74.57,74.59,83.94,72.56,71.53,5,22,8,85.74,78.67,10,7,7,66.22,89.73,Yes,Information Technology,80.66,79.29,93.88,91.43,High
STU0017,21,Male,2,6.56,70.64,54.62,71.11,81.02,77.39,64.96,33.86,72.93,77.45,1,3,6,80.98,47.48,7,5,8,39.06,69.34,Undecided,Research,61.64,55.74,61.84,47.25,Medium
STU0018,25,Male,4,5.15,63.87,66.71,77.16,67.55,74.98,78.91,93.31,90.53,59.15,2,10,10,73.74,70.26,6,6,4,61.77,73.75,No,Manufacturing,81.88,66.29,78.82,49.32,Medium
STU0019,25,Female,3,5.86,64.31,83.38,77.73,88.71,91.14,100.0,95.32,76.62,65.24,3,12,6,83.04,76.4,7,5,4,80.94,54.2,No,Healthcare,62.76,87.38,82.16,65.17,Medium
STU0020,20,Female,2,8.68,94.45,80.36,79.48,76.58,73.07,69.07,94.52,39.51,97.28,2,6,5,70.87,72.43,3,8,7,72.59,78.05,Yes,Research,68.85,76.72,65.2,58.09,Medium
STU0021,23,Male,2,7.01,71.01,70.2,79.25,65.77,64.98,65.48,82.01,75.15,63.69,4,14,5,80.11,77.13,9,2,2,85.17,71.6,No,Manufacturing,81.8,62.21,78.29,64.37,Medium
STU0022,22,Male,1,6.54,78.04,57.33,68.12,61.06,58.1,60.53,82.65,54.6,79.02,0,1,2,48.18,37.67,6,7,3,97.88,81.06,Undecided,Consulting,92.81,72.83,44.53,11.36,Low
STU0023,19,Male,3,7.39,78.76,78.39,83.33,73.43,73.24,68.06,80.67,60.41,65.42,0,1,3,60.78,48.43,4,10,2,57.64,64.74,Yes,Information Technology,55.14,55.27,49.87,33.25,Low
STU0024,25,Male,4,7.8,81.56,70.25,57.93,76.67,38.27,30.0,64.25,62.25,76.8,1,3,2,54.55,59.84,8,2,6,56.65,63.47,Yes,Manufacturing,68.51,58.63,61.43,15.99,Low
STU0025,21,Female,3,8.54,77.97,39.84,63.79,67.66,67.6,74.47,94.89,64.04,77.39,1,4,5,53.65,55.46,3,2,3,84.26,95.0,No,Consulting,83.06,80.31,57.34,43.41,Medium
STU0026,23,Male,3,8.94,92.47,80.17,78.33,79.69,67.32,61.84,69.07,55.5,84.18,0,2,1,48.33,44.46,7,6,4,67.67,58.83,No,Information Technology,69.67,64.45,41.23,48.55,Medium
STU0027,23,Male,1,6.77,65.11,69.68,82.37,82.19,52.26,47.41,38.79,74.44,68.32,0,2,5,68.2,58.92,6,6,4,67.27,64.19,Yes,Education,58.69,60.13,71.56,43.05,Medium
STU0028,19,Female,4,5.61,56.02,85.63,78.13,69.45,57.93,73.6,64.55,55.07,79.03,3,11,4,83.13,76.3,5,4,4,100.0,87.4,Yes,Manufacturing,77.07,78.97,77.68,38.67,Low
STU0029,25,Male,4,6.7,64.59,55.76,64.62,58.52,80.53,65.42,75.71,76.28,65.19,1,4,3,50.59,45.32,5,2,4,88.73,64.01,Yes,Information Technology,81.35,84.67,42.77,43.51,Medium
STU0030,21,Male,2,7.51,70.13,30.0,56.94,41.26,73.0,69.46,71.46,98.84,81.31,5,21,5,50.0,84.08,7,10,5,72.39,69.87,Undecided,Consulting,86.04,73.89,80.98,54.4,Medium
STU0031,22,Female,4,6.04,79.23,73.63,67.88,75.64,71.32,86.76,61.24,56.05,71.75,2,11,1,47.57,43.54,8,4,7,77.68,84.05,Yes,Consulting,79.66,79.11,44.71,41.45,Medium
STU0032,18,Female,3,6.05,73.77,73.79,87.01,68.99,73.98,59.2,47.64,68.59,61.3,3,11,10,95.85,67.14,2,2,5,73.2,66.08,Yes,Information Technology,83.85,73.49,80.07,55.98,Medium
STU0033,21,Female,3,7.61,91.93,48.02,84.72,65.71,71.2,56.71,56.75,41.72,67.12,1,6,1,56.15,53.21,2,2,10,50.29,65.93,Undecided,Consulting,51.06,72.51,53.71,29.61,Low
STU0034,19,Female,4,7.14,65.7,57.28,66.91,54.19,86.16,81.47,87.75,68.39,69.97,1,4,13,98.94,71.43,6,2,3,75.3,71.83,Undecided,Government,67.84,88.55,72.05,44.4,Medium
STU0035,23,Male,4,7.24,75.66,100.0,99.2,87.43,71.6,83.71,94.16,79.71,71.5,3,12,4,94.99,83.33,5,5,2,67.91,64.55,No,Finance,71.6,64.57,74.6,67.45,Medium
STU0036,22,Male,3,6.29,57.56,66.03,60.31,75.19,51.04,47.22,68.29,80.65,91.31,2,5,3,61.73,58.42,5,4,6,60.18,62.0,Undecided,Education,67.54,56.71,60.16,27.4,Low
STU0037,21,Female,1,6.92,67.41,79.5,67.99,55.07,91.19,85.11,93.28,72.93,62.92,3,10,8,79.82,88.46,4,4,1,64.29,61.1,No,Manufacturing,61.78,75.1,77.23,56.85,Medium
STU0038,18,Male,2,6.09,58.38,61.54,63.45,87.06,74.81,79.47,73.55,82.67,80.85,3,9,5,62.16,52.88,6,7,8,51.25,68.91,Yes,Finance,66.29,62.38,63.78,53.83,Medium
STU0039,18,Male,4,8.27,93.11,42.83,70.34,52.72,62.34,47.46,39.29,100.0,95.3,3,9,5,44.5,62.15,7,6,2,46.92,65.45,No,Manufacturing,55.26,57.6,75.71,44.67,Medium
STU0040,20,Male,2,8.44,83.19,67.79,71.47,49.03,53.71,72.15,61.22,92.55,81.76,2,6,1,49.58,64.42,8,7,8,59.6,62.38,No,Research,64.48,58.42,54.52,46.71,Medium
STU0041,20,Male,2,4.98,62.3,66.55,71.05,70.18,75.15,82.58,72.59,65.73,58.74,4,19,1,56.7,85.52,7,4,3,57.44,52.91,Yes,Healthcare,61.81,65.12,76.14,36.55,Low
STU0042,24,Male,2,6.08,68.95,64.8,70.74,67.97,68.48,67.7,62.85,54.59,58.6,3,15,7,77.93,87.52,5,6,9,98.83,85.29,Yes,Healthcare,100.0,76.65,66.77,57.49,Medium
STU0043,19,Male,2,5.4,74.73,68.51,64.0,68.86,90.46,93.23,83.9,67.13,66.63,5,10,5,75.4,74.2,7,4,4,91.06,72.32,Undecided,Information Technology,75.14,80.21,64.61,71.79,High
STU0044,25,Male,3,6.42,57.42,73.44,72.3,82.3,65.5,80.84,77.97,60.64,47.22,4,9,6,79.13,84.27,7,5,3,63.18,72.74,No,Finance,73.07,66.88,78.24,48.22,Medium
STU0045,21,Male,4,7.1,82.71,68.05,81.48,76.9,59.11,67.63,76.68,77.42,68.14,0,3,6,83.5,56.26,7,4,6,77.95,75.93,Yes,Government,82.59,63.48,70.45,50.59,Medium
STU0046,21,Female,2,5.46,67.17,53.57,63.99,64.44,81.65,72.23,70.36,57.83,52.52,2,7,7,65.91,63.17,8,6,6,69.91,78.14,Undecided,Information Technology,89.83,77.96,53.49,40.8,Medium
STU0047,25,Female,1,6.09,58.0,76.32,78.87,78.48,82.03,67.19,49.18,71.13,78.75,3,8,3,68.78,81.85,2,4,4,62.03,79.15,Yes,Information Technology,81.25,66.73,78.86,46.98,Medium
STU0048,24,Female,1,6.0,71.05,44.66,50.23,55.52,72.19,72.11,65.49,82.06,80.05,3,9,6,80.73,94.29,12,7,2,55.91,50.57,Yes,Government,62.65,62.85,89.28,42.47,Medium
STU0049,23,Female,4,7.45,79.4,43.35,66.04,73.6,78.79,81.15,76.62,70.79,81.1,2,9,6,85.69,73.89,8,5,3,65.22,78.37,Undecided,Information Technology,58.18,83.48,83.62,49.34,Medium
STU0050,23,Female,3,7.28,73.93,79.61,67.34,60.99,69.51,68.04,83.87,60.64,74.37,4,19,1,64.23,54.83,5,9,3,62.76,63.3,Yes,Healthcare,68.77,64.69,74.32,46.48,Medium
STU0051,24,Male,2,6.33,61.2,76.59,61.97,75.52,73.04,50.89,57.26,86.1,73.75,1,2,6,78.18,45.59,4,5,3,67.67,41.72,No,Government,67.84,69.81,52.46,26.16,Low
STU0052,23,Female,4,7.41,71.66,69.25,66.2,70.74,85.14,91.0,87.29,49.45,78.06,1,3,2,46.52,49.14,2,1,3,100.0,78.41,No,Consulting,79.82,77.98,40.5,39.98,Low
STU0053,20,Female,4,6.54,83.21,51.86,59.92,68.66,78.13,77.06,77.98,68.07,69.05,0,0,7,66.62,61.62,7,4,3,68.6,51.22,Yes,Information Technology,57.74,66.14,40.31,19.24,Low
STU0054,21,Female,4,6.87,71.83,60.8,63.12,57.0,67.8,66.71,68.83,71.5,72.55,3,9,3,54.89,57.1,9,6,1,51.34,41.81,Yes,Government,65.46,62.26,77.69,49.89,Medium
STU0055,24,Male,4,9.21,98.36,66.58,77.67,51.18,87.58,87.98,91.85,72.19,87.81,3,12,6,88.18,76.36,7,8,2,66.97,52.54,No,Government,72.27,57.18,84.49,62.31,Medium
STU0056,21,Male,2,8.81,83.75,49.25,73.17,60.66,39.26,72.91,55.4,74.17,64.67,2,6,5,57.99,76.38,5,2,6,87.47,76.93,Undecided,Consulting,70.62,66.66,69.62,56.8,Medium
STU0057,25,Male,4,5.64,55.3,60.39,58.96,68.03,96.68,55.49,64.69,79.33,96.02,3,11,8,82.57,72.06,3,7,2,100.0,61.54,No,Government,81.72,85.51,55.73,53.45,Medium
STU0058,18,Male,3,8.2,91.37,78.48,69.61,90.06,47.82,65.86,62.86,71.58,78.71,0,0,3,69.99,70.52,6,5,7,49.7,79.1,Yes,Consulting,64.97,55.31,63.66,31.38,Low
STU0059,20,Female,4,8.17,74.08,88.55,89.9,68.0,61.85,53.57,54.53,67.58,72.48,0,3,2,34.71,34.58,6,5,6,70.65,82.95,No,Government,86.93,77.7,40.66,36.81,Low
STU0060,22,Female,4,5.82,59.47,64.55,58.17,79.05,69.47,76.25,78.15,67.11,77.26,3,9,5,59.09,75.68,4,6,2,75.4,91.43,Yes,Information Technology,92.58,66.15,71.29,49.95,Medium
STU0061,20,Male,4,8.18,83.86,79.83,79.8,99.58,68.1,71.92,61.64,64.66,81.98,2,6,9,100.0,77.77,4,6,8,85.09,80.01,Undecided,Information Technology,83.41,76.86,74.1,65.56,Medium
STU0062,24,Other,3,9.05,92.23,45.12,71.16,53.04,83.08,83.74,80.79,81.45,82.06,3,7,3,59.14,74.42,13,9,2,67.39,57.81,Yes,Information Technology,58.53,76.64,69.66,61.44,Medium
STU0063,22,Female,1,5.85,61.4,78.57,73.44,62.3,56.25,60.32,61.97,64.24,66.93,4,16,5,80.9,100.0,6,8,6,70.12,73.74,Undecided,Finance,69.39,60.43,76.89,39.12,Low
STU0064,18,Male,3,6.1,67.67,59.55,74.24,60.68,73.39,54.29,67.93,82.16,59.8,4,15,3,48.33,72.53,6,8,4,63.72,73.99,Yes,Manufacturing,56.9,57.79,69.25,42.7,Medium
STU0065,24,Male,4,8.42,90.63,74.0,83.85,72.84,62.48,63.61,60.37,72.23,73.38,1,6,3,72.51,72.61,8,6,3,50.44,71.61,Yes,Finance,51.86,63.72,53.71,45.57,Medium
STU0066,19,Male,4,7.53,82.91,66.78,67.18,74.37,73.84,77.3,69.45,65.74,78.4,2,6,4,56.84,50.79,11,2,9,84.17,76.44,No,Education,98.52,80.86,65.92,69.01,Medium
STU0067,21,Male,1,7.86,73.84,87.17,97.5,74.03,69.16,81.28,74.89,79.42,78.67,3,13,6,81.24,66.18,1,4,4,55.75,72.61,No,Consulting,63.36,75.01,79.69,59.47,Medium
STU0068,18,Male,1,7.61,76.5,58.63,69.71,79.8,71.21,60.33,69.34,63.27,81.75,4,17,2,56.08,55.11,3,4,6,46.45,73.3,No,Research,59.48,54.98,72.41,51.45,Medium
STU0069,21,Male,1,7.67,87.39,78.16,79.58,63.84,62.85,78.55,71.15,79.66,78.4,4,15,4,74.02,68.05,7,6,3,62.98,92.66,Undecided,Finance,74.82,67.79,63.15,71.08,High
STU0070,23,Male,4,5.61,66.75,66.37,75.94,51.11,63.37,62.04,86.02,74.55,58.24,1,4,3,62.18,71.04,4,10,8,44.82,80.86,Undecided,Government,64.26,75.96,61.13,41.49,Medium
STU0071,19,Male,4,8.46,76.53,67.94,74.35,80.43,73.73,76.8,61.42,64.84,80.75,1,4,1,47.17,53.18,6,6,3,63.94,82.16,Yes,Consulting,75.46,73.45,57.24,56.33,Medium
STU0072,19,Female,2,8.6,89.86,67.61,80.07,46.44,82.27,71.92,72.97,78.34,92.88,3,6,3,43.88,57.88,6,7,4,63.11,85.01,Yes,Government,66.61,77.49,65.74,58.21,Medium
STU0073,18,Male,3,6.92,58.43,59.01,81.94,62.41,62.22,69.82,49.11,78.56,77.1,3,8,4,61.31,69.57,2,4,2,68.63,56.44,Undecided,Consulting,76.25,66.84,81.98,47.07,Medium
STU0074,19,Female,4,7.15,74.68,69.82,70.36,100.0,58.71,75.34,73.51,85.89,75.43,1,5,4,47.09,56.64,9,7,5,62.83,59.39,Undecided,Consulting,59.47,61.26,44.58,36.55,Low
STU0075,22,Male,4,5.36,71.52,69.19,68.63,69.93,77.97,62.82,56.1,83.59,84.51,0,1,4,68.76,60.29,7,4,4,70.83,77.8,Yes,Education,62.14,72.76,53.27,35.87,Low
STU0076,19,Other,3,7.82,73.74,73.14,74.65,61.02,69.58,64.51,64.63,77.9,100.0,3,11,9,82.77,78.29,6,6,5,98.13,75.8,Undecided,Research,76.05,76.33,79.87,58.74,Medium
STU0077,21,Male,3,7.89,75.17,71.1,81.88,70.53,80.8,78.21,71.11,58.47,69.89,1,4,11,98.61,84.27,2,9,2,32.56,58.25,No,Healthcare,49.95,70.79,76.0,43.24,Medium
STU0078,21,Male,3,7.13,79.52,80.37,66.95,75.7,58.22,90.21,77.5,100.0,71.03,1,7,4,64.04,46.91,7,4,7,92.93,80.83,Yes,Government,91.57,77.23,61.79,67.82,Medium
STU0079,24,Female,2,8.55,76.15,82.01,62.83,78.71,46.87,52.46,51.45,55.16,62.92,1,4,4,73.23,56.79,4,4,3,48.43,62.1,Undecided,Manufacturing,64.13,55.5,45.36,39.82,Low
STU0080,21,Female,3,6.8,66.77,56.34,59.03,69.61,63.07,88.78,67.7,83.39,79.02,1,4,2,43.4,60.06,1,2,1,76.77,67.24,Yes,Information Technology,82.04,56.49,49.41,20.38,Low
STU0081,24,Female,3,7.88,85.1,81.29,68.29,66.32,60.04,87.06,90.71,77.18,63.5,3,12,5,75.5,82.76,5,6,2,89.06,77.45,No,Education,73.37,68.62,72.78,64.63,Medium
STU0082,21,Male,4,5.98,59.38,54.58,56.95,78.89,68.98,70.07,73.18,57.91,64.68,2,10,6,70.58,68.94,8,3,2,67.11,50.7,No,Healthcare,72.15,77.21,72.67,28.41,Low
STU0083,22,Male,3,7.17,72.88,77.64,79.47,77.15,61.72,64.79,59.37,70.51,75.08,0,2,3,62.7,44.65,8,1,6,73.04,59.75,Yes,Manufacturing,72.27,60.15,59.59,41.58,Medium
STU0084,25,Female,4,6.99,78.12,78.06,70.34,82.2,79.63,68.91,69.02,71.05,87.47,0,3,4,70.46,61.06,4,4,6,81.03,74.44,No,Government,75.28,77.46,59.0,49.82,Medium
STU0085,24,Female,1,7.47,80.18,45.15,51.97,50.55,66.25,69.13,88.5,87.67,91.16,1,5,2,36.18,36.38,7,4,3,85.7,72.19,No,Education,73.6,71.77,59.95,35.39,Low
STU0086,20,Female,3,6.76,72.71,71.21,73.05,84.03,71.96,58.31,63.58,63.44,77.26,3,8,6,65.6,81.06,6,9,1,52.43,72.13,Yes,Healthcare,57.37,57.63,71.43,42.42,Medium
STU0087,23,Female,1,7.04,70.99,63.91,75.51,64.58,72.05,71.66,62.82,68.86,51.04,0,0,8,93.84,77.75,6,3,5,76.28,76.02,No,Research,79.67,67.42,62.67,52.42,Medium
STU0088,18,Male,2,8.19,86.3,60.14,58.71,67.85,72.53,87.61,68.58,43.97,76.69,2,4,6,58.73,54.73,2,6,6,69.08,73.62,No,Information Technology,72.34,61.46,72.33,40.71,Medium
STU0089,21,Female,4,6.68,69.25,87.56,85.2,70.83,69.69,65.25,61.67,92.82,83.43,0,2,6,97.98,90.08,10,6,2,77.44,63.61,Undecided,Healthcare,59.39,59.79,70.55,52.74,Medium
STU0090,19,Male,4,5.27,60.63,61.5,70.43,55.86,76.64,72.08,65.25,59.15,66.27,1,6,6,70.42,49.19,3,2,2,77.35,71.28,Undecided,Healthcare,72.65,77.13,51.48,25.97,Low
STU0091,25,Male,1,9.3,90.22,59.52,80.99,71.62,59.66,49.84,45.0,75.92,63.78,1,5,5,59.03,52.72,9,1,2,69.09,60.89,Yes,Information Technology,64.42,58.71,63.0,31.28,Low
STU0092,21,Male,2,8.86,88.46,70.98,87.65,66.6,88.19,83.43,65.76,70.78,70.2,0,3,2,61.73,47.56,6,7,6,70.16,59.73,No,Consulting,75.75,85.99,44.66,50.6,Medium
STU0093,19,Female,4,5.65,53.92,78.91,87.0,66.86,66.93,72.76,60.25,70.82,54.62,3,11,2,53.12,63.21,9,5,3,78.12,79.05,Yes,Consulting,80.26,76.99,68.16,36.18,Low
STU0094,23,Male,2,8.03,82.02,68.16,71.53,63.06,52.95,64.46,70.9,81.72,60.09,2,8,1,51.56,71.87,9,5,5,63.3,62.2,Yes,Education,62.29,59.18,72.42,48.17,Medium
STU0095,23,Male,3,6.6,63.72,85.16,76.5,85.83,72.44,70.43,66.19,92.06,74.89,4,18,5,84.75,87.28,9,10,5,81.37,69.23,No,Healthcare,70.31,77.89,83.27,66.24,Medium
STU0096,23,Female,4,7.52,69.88,76.9,70.73,68.0,58.93,63.59,62.5,75.02,64.78,0,2,3,67.62,43.73,6,8,3,58.92,47.42,Yes,Information Technology,59.99,44.55,61.67,27.7,Low
STU0097,19,Male,3,7.55,79.76,41.68,61.69,53.75,78.65,80.41,91.05,79.86,100.0,1,2,6,68.0,59.29,6,5,6,99.75,85.73,Undecided,Education,85.45,82.9,62.57,56.64,Medium
STU0098,21,Female,1,6.92,73.77,63.12,81.49,66.87,98.72,84.14,97.67,75.95,72.09,1,6,3,62.33,62.56,7,4,3,77.34,85.17,Undecided,Information Technology,69.44,92.25,46.07,49.11,Medium
STU0099,23,Male,2,6.26,71.82,62.7,57.59,47.31,59.77,70.05,64.07,84.21,87.04,3,13,3,57.27,71.12,6,3,4,73.81,51.74,No,Finance,68.79,54.77,74.56,22.18,Low
STU0100,22,Male,4,6.37,64.31,76.23,64.92,59.22,74.32,75.59,65.47,66.45,53.32,1,5,6,83.17,76.49,6,4,2,61.48,44.45,No,Government,57.68,68.17,80.5,38.26,Low
STU0101,24,Female,3,6.1,67.76,35.88,65.88,55.1,47.18,72.47,54.79,84.9,69.42,2,8,8,63.98,63.49,12,6,5,68.23,72.93,Undecided,Education,69.94,62.05,67.2,26.62,Low
STU0102,19,Male,1,6.2,69.66,100.0,92.54,79.63,75.9,80.92,83.61,85.33,75.85,1,6,4,86.67,73.66,6,4,4,76.45,72.42,Yes,Finance,75.24,64.53,65.82,56.03,Medium
STU0103,19,Male,4,7.12,77.19,76.9,73.72,84.86,58.49,68.25,64.05,84.99,69.34,0,1,5,70.67,51.84,8,3,4,88.61,69.28,Yes,Consulting,82.96,78.89,56.64,48.33,Medium
STU0104,21,Male,1,6.34,61.28,71.94,75.66,81.24,61.88,83.03,67.89,64.08,61.87,5,13,4,66.6,75.17,4,6,6,52.81,59.95,Yes,Government,50.57,66.83,74.67,44.38,Medium
STU0105,19,Male,4,8.02,83.23,85.36,85.27,86.14,55.68,69.26,56.4,69.98,73.16,2,7,6,77.37,56.53,7,5,3,49.85,61.37,No,Healthcare,53.13,60.75,76.79,51.97,Medium
STU0106,19,Other,2,8.98,93.37,100.0,100.0,100.0,79.52,88.83,69.73,74.87,78.04,4,18,3,74.85,94.6,5,3,3,63.08,44.09,Undecided,Government,69.15,58.25,84.35,80.42,High
STU0107,23,Male,4,6.5,68.55,81.32,76.18,75.9,83.09,83.46,81.82,55.55,82.35,3,14,5,81.89,60.67,4,5,7,63.97,58.34,Yes,Government,72.0,65.76,74.79,55.4,Medium
STU0108,21,Female,2,7.49,62.8,82.33,82.23,83.77,70.3,53.22,48.42,91.14,77.73,2,11,3,55.88,61.89,5,1,5,63.36,57.08,Yes,Research,77.75,64.66,59.25,46.38,Medium
STU0109,23,Male,2,7.8,81.32,71.7,96.86,65.59,58.76,79.49,82.45,71.85,79.33,0,1,7,79.54,60.91,6,3,7,77.17,72.1,Undecided,Healthcare,80.51,75.84,67.99,54.87,Medium
STU0110,24,Female,1,7.77,95.42,68.16,83.85,94.01,90.66,82.15,73.01,75.41,85.88,3,14,4,65.21,59.28,4,4,6,73.5,69.09,Undecided,Research,77.19,77.08,59.38,68.88,Medium
STU0111,25,Female,2,7.29,73.09,63.81,69.69,86.93,60.24,66.59,64.57,65.08,75.62,1,4,6,75.82,70.34,5,7,2,66.54,36.29,No,Healthcare,57.04,59.09,83.61,26.95,Low
STU0112,24,Female,4,8.09,77.71,59.26,74.65,64.71,41.89,61.66,44.01,56.08,68.28,2,5,6,68.41,50.86,3,3,5,90.43,63.65,Yes,Research,67.49,57.72,61.87,42.34,Medium
STU0113,25,Male,4,7.78,82.63,61.07,68.48,69.45,75.96,70.73,71.6,64.75,70.46,3,15,3,52.92,58.37,5,4,4,100.0,83.76,Yes,Education,94.08,92.66,64.56,55.96,Medium
STU0114,23,Male,2,5.71,63.58,52.44,79.95,74.43,55.64,67.31,61.53,74.63,71.14,4,10,4,65.44,84.82,2,7,2,78.21,71.45,Undecided,Government,74.63,59.96,69.57,32.83,Low
STU0115,24,Male,2,8.24,92.51,69.01,79.87,68.48,82.85,71.36,73.09,80.08,91.81,3,12,11,100.0,69.99,0,6,4,76.66,78.48,Yes,Manufacturing,65.1,79.02,93.12,67.26,Medium
STU0116,21,Female,4,8.26,75.53,48.1,60.9,51.89,65.05,82.02,90.63,73.94,83.75,3,9,7,73.56,80.59,5,4,6,71.14,77.14,Undecided,Education,78.08,77.07,78.17,50.46,Medium
STU0117,18,Female,4,6.28,71.64,72.48,66.0,80.6,77.85,73.9,75.46,76.16,70.76,1,6,3,70.36,70.3,4,2,5,53.26,62.59,Undecided,Education,68.72,63.62,69.25,46.77,Medium
STU0118,23,Female,3,7.25,79.38,69.53,82.85,71.03,88.22,75.87,67.07,67.96,80.08,2,4,2,43.63,65.18,4,6,4,84.86,62.97,No,Manufacturing,69.6,77.49,53.19,41.17,Medium
STU0119,25,Male,2,8.02,81.18,71.91,82.71,73.38,54.28,55.18,52.35,77.95,75.05,0,2,4,71.56,57.37,6,7,1,66.48,50.4,Undecided,Education,59.94,53.04,66.93,37.62,Low
STU0120,22,Female,2,6.95,74.92,63.21,65.69,58.42,62.64,70.88,75.61,89.79,78.46,3,13,11,100.0,74.61,5,3,4,69.13,58.71,Yes,Consulting,69.23,55.69,76.04,51.13,Medium
STU0121,25,Female,3,8.49,93.62,100.0,97.38,69.82,69.02,72.93,86.36,80.46,77.64,5,11,7,78.36,76.44,0,4,4,72.05,76.45,Undecided,Finance,67.95,63.39,90.19,81.24,High
STU0122,22,Male,1,10.0,100.0,87.68,77.39,82.59,89.99,84.38,83.41,81.71,82.88,1,4,4,80.02,57.97,8,3,5,51.98,68.48,No,Manufacturing,61.33,82.2,59.68,73.12,High
STU0123,19,Male,3,6.26,58.34,53.82,61.12,70.65,61.44,57.38,71.71,75.53,80.15,0,2,4,63.56,20.0,8,8,3,89.75,62.75,Yes,Manufacturing,78.95,60.0,34.75,21.24,Low
STU0124,24,Female,2,5.54,65.6,73.03,74.45,69.91,62.27,52.01,69.09,53.96,64.98,2,9,6,81.35,69.77,6,3,3,82.61,73.7,Undecided,Government,83.59,65.86,66.15,31.69,Low
STU0125,22,Female,4,7.56,77.59,62.1,83.76,80.52,76.22,80.55,92.28,59.46,71.21,4,19,8,79.31,79.57,6,7,3,57.7,67.47,Undecided,Research,64.51,60.31,70.72,46.57,Medium
